N-be75eec_150,ils_TEI_perturb_insert_time_22.072700_moves_4_cw,150,ils,TEI,insert,cw,4,3452644,3482828,22.0736,0
N-be75np_150,ils_TEI_perturb_insert_time_22.846850_moves_4_cw,150,ils,TEI,insert,cw,4,7130692,7174325,22.8555,0
N-be75oi_150,ils_TEI_perturb_insert_time_31.828150_moves_4_cw,150,ils,TEI,insert,cw,4,2238376,2246534,31.8451,0
N-be75tot_150,ils_TEI_perturb_insert_time_22.396400_moves_4_cw,150,ils,TEI,insert,cw,4,12131098,12287707,22.4274,1
N-stabu1_150,ils_TEI_perturb_insert_time_23.729900_moves_4_cw,150,ils,TEI,insert,cw,4,2850797,2875732,23.7459,0
N-stabu2_150,ils_TEI_perturb_insert_time_24.571050_moves_4_cw,150,ils,TEI,insert,cw,4,4305193,4327538,24.5862,0
N-stabu3_150,ils_TEI_perturb_insert_time_23.978350_moves_4_cw,150,ils,TEI,insert,cw,4,4486319,4510445,23.9904,0
N-t59b11xx_150,ils_TEI_perturb_insert_time_23.187000_moves_4_cw,150,ils,TEI,insert,cw,4,3228580,3239550,23.2003,0
N-t59d11xx_150,ils_TEI_perturb_insert_time_24.218950_moves_4_cw,150,ils,TEI,insert,cw,4,1444772,1462697,24.2485,1
N-t59f11xx_150,ils_TEI_perturb_insert_time_19.571550_moves_4_cw,150,ils,TEI,insert,cw,4,1528181,1543733,19.5829,1
N-t59n11xx_150,ils_TEI_perturb_insert_time_24.762300_moves_4_cw,150,ils,TEI,insert,cw,4,315477,318960,24.7818,1
N-t65b11xx_150,ils_TEI_perturb_insert_time_26.253050_moves_4_cw,150,ils,TEI,insert,cw,4,6406097,6453836,26.2595,0
N-t65d11xx_150,ils_TEI_perturb_insert_time_18.859300_moves_4_cw,150,ils,TEI,insert,cw,4,3514398,3559347,18.8685,1
N-t65f11xx_150,ils_TEI_perturb_insert_time_22.022700_moves_4_cw,150,ils,TEI,insert,cw,4,3120002,3159326,22.0288,1
N-t65l11xx_150,ils_TEI_perturb_insert_time_21.741200_moves_4_cw,150,ils,TEI,insert,cw,4,252364,253396,21.7973,0
N-t65n11xx_150,ils_TEI_perturb_insert_time_21.989900_moves_4_cw,150,ils,TEI,insert,cw,4,546664,550733,22.0034,0
N-t69r11xx_150,ils_TEI_perturb_insert_time_27.578950_moves_4_cw,150,ils,TEI,insert,cw,4,11760407,11855957,27.5973,0
N-t70b11xx_150,ils_TEI_perturb_insert_time_26.324350_moves_4_cw,150,ils,TEI,insert,cw,4,9583845,9647229,26.3347,0
N-t70d11xn_150,ils_TEI_perturb_insert_time_21.733400_moves_4_cw,150,ils,TEI,insert,cw,4,5749335,5825147,21.7448,1
N-t70d11xx_150,ils_TEI_perturb_insert_time_23.146600_moves_4_cw,150,ils,TEI,insert,cw,4,6106702,6174178,23.1478,1
N-t70f11xx_150,ils_TEI_perturb_insert_time_17.651800_moves_4_cw,150,ils,TEI,insert,cw,4,5112980,5150097,17.6659,0
N-t70l11xx_150,ils_TEI_perturb_insert_time_32.181300_moves_4_cw,150,ils,TEI,insert,cw,4,433191,436862,32.2013,0
N-t70n11xx_150,ils_TEI_perturb_insert_time_24.375050_moves_4_cw,150,ils,TEI,insert,cw,4,935795,948913,24.4105,1
N-t74d11xx_150,ils_TEI_perturb_insert_time_20.889100_moves_4_cw,150,ils,TEI,insert,cw,4,9307512,9396044,20.8986,0
N-t75d11xx_150,ils_TEI_perturb_insert_time_24.323500_moves_4_cw,150,ils,TEI,insert,cw,4,9543842,9642140,24.3385,1
N-t75e11xx_150,ils_TEI_perturb_insert_time_22.893450_moves_4_cw,150,ils,TEI,insert,cw,4,41181369,41570193,22.9301,0
N-t75k11xx_150,ils_TEI_perturb_insert_time_27.109500_moves_4_cw,150,ils,TEI,insert,cw,4,1534415,1541596,27.1172,0
N-t75n11xx_150,ils_TEI_perturb_insert_time_23.607150_moves_4_cw,150,ils,TEI,insert,cw,4,1724977,1743094,23.6253,1
N-tiw56n54_150,ils_TEI_perturb_insert_time_21.121500_moves_4_cw,150,ils,TEI,insert,cw,4,833879,837945,21.1295,0
N-tiw56n58_150,ils_TEI_perturb_insert_time_22.818600_moves_4_cw,150,ils,TEI,insert,cw,4,1143975,1155392,22.8285,0
N-tiw56n62_150,ils_TEI_perturb_insert_time_22.412250_moves_4_cw,150,ils,TEI,insert,cw,4,1615028,1626921,22.4313,0
N-tiw56n66_150,ils_TEI_perturb_insert_time_20.651550_moves_4_cw,150,ils,TEI,insert,cw,4,2082949,2107619,20.6677,1
N-tiw56n67_150,ils_TEI_perturb_insert_time_23.695450_moves_4_cw,150,ils,TEI,insert,cw,4,2349346,2372926,23.7242,0
N-tiw56n72_150,ils_TEI_perturb_insert_time_23.767750_moves_4_cw,150,ils,TEI,insert,cw,4,4092992,4135907,23.7785,1
N-tiw56r54_150,ils_TEI_perturb_insert_time_20.455200_moves_4_cw,150,ils,TEI,insert,cw,4,952363,958192,20.4652,0
N-tiw56r58_150,ils_TEI_perturb_insert_time_24.272400_moves_4_cw,150,ils,TEI,insert,cw,4,1213293,1219295,24.2788,0
N-tiw56r66_150,ils_TEI_perturb_insert_time_20.044650_moves_4_cw,150,ils,TEI,insert,cw,4,1919604,1940755,20.0635,1
N-tiw56r67_150,ils_TEI_perturb_insert_time_28.817300_moves_4_cw,150,ils,TEI,insert,cw,4,2037979,2056347,28.8401,0
N-tiw56r72_150,ils_TEI_perturb_insert_time_22.411350_moves_4_cw,150,ils,TEI,insert,cw,4,2791171,2823758,22.4416,1
