"Instance","CW","Random"
"N-be75eec_150",0.860967007271103,0.924823160948517
"N-be75np_150",0.600335223174306,0.707272112707467
"N-be75oi_150",0.363137170414514,0.612499076354954
"N-be75tot_150",1.24408077113167,0.95289544257525
"N-stabu1_150",0.861658875027297,0.536906777126659
"N-stabu2_150",0.516344397206911,0.570023879628555
"N-stabu3_150",0.534891790056192,1.02601849706625
"N-t59b11xx_150",0.338627278480036,0.583723047954191
"N-t59d11xx_150",1.22547595298274,0.763999652696355
"N-t59f11xx_150",1.00742809799363,0.835636732517864
"N-t59n11xx_150",1.09198645598194,0.66246551291698
"N-t65b11xx_150",0.739699614306902,0.756123954807652
"N-t65d11xx_150",1.26284399919423,0.714400703275067
"N-t65f11xx_150",1.24469586234532,1.53554903799101
"N-t65l11xx_150",0.407267675890701,0.542628928633443
"N-t65n11xx_150",0.73883351823842,1.2417995653066
"N-t69r11xx_150",0.805923975601463,0.486843870975578
"N-t70b11xx_150",0.652436051844524,0.515039085316623
"N-t70d11xn_150",1.30146071850204,1.4251657511819
"N-t70d11xx_150",1.09287422552443,0.537383275959974
"N-t70f11xx_150",0.72070487216066,1.52969934352693
"N-t70l11xx_150",0.840311127999231,0.588286461170805
"N-t70n11xx_150",1.38242388922904,1.06279500860458
"N-t74d11xx_150",0.942226324184944,1.26742701502888
"N-t75d11xx_150",1.01946248446922,1.22468663595426
"N-t75e11xx_150",0.935343263862162,0.610822278356995
"N-t75k11xx_150",0.465815946590417,0.521148212631584
"N-t75n11xx_150",1.02931913023624,1.28971816780965
"N-tiw56n54_150",0.484518673659966,0.554571004063513
"N-tiw56n58_150",0.988149476541295,0.995333185620119
"N-tiw56n62_150",0.73101275353874,1.21333488227148
"N-tiw56n66_150",1.1705151642683,1.15333938439538
"N-tiw56n67_150",0.993709875487057,1.16666090725122
"N-tiw56n72_150",1.0376200431973,1.22335922930569
"N-tiw56r54_150",0.608333194182377,1.39429258436722
"N-tiw56r58_150",0.492251670022431,1.1759254323195
"N-tiw56r66_150",1.08983359568828,0.545612403420318
"N-tiw56r67_150",0.893234458970203,1.01831062558994
"N-tiw56r72_150",1.15402948836267,0.465443568464436
