Instance,Exchange,Insert,Transpose
N-be75eec_150,0.951094914822093,1.62683887920965,3.1650141781334
N-be75np_150,1.08091005077133,0.789467998731588,3.48269697846139
N-be75oi_150,0.880155831160356,1.00310077657405,2.31476576806761
N-be75tot_150,2.04101546366625,1.69879538957106,3.76370465213729
N-stabu1_150,1.17723070160919,1.7356972068329,2.47077961367749
N-stabu2_150,0.646533895254068,0.914030102104245,2.18824190567477
N-stabu3_150,1.64105758966133,1.64238783534662,2.21563504266209
N-t59b11xx_150,2.13116019200198,1.68403018937815,3.29104350912935
N-t59d11xx_150,1.59192231883979,1.99549188929765,4.00465715045563
N-t59f11xx_150,1.54761218423134,1.69601867680486,3.63787002026905
N-t59n11xx_150,1.15374968648106,2.56928768497617,3.58258088788563
N-t65b11xx_150,1.68152707939898,1.74600036319485,4.09096233619819
N-t65d11xx_150,1.86278550531881,1.68511246585399,3.46347237288188
N-t65f11xx_150,1.68716365452631,1.85466773609308,3.01852357116676
N-t65l11xx_150,0.883597215425658,0.942793098549306,2.54266049977111
N-t65n11xx_150,1.80268841707325,2.10682853578776,2.85637504925254
N-t69r11xx_150,1.62762061299649,1.83111325386892,3.06001447204979
N-t70b11xx_150,1.67415949180848,1.64282406896322,3.7395712281734
N-t70d11xn_150,1.90566864664531,1.40128652547309,3.536030936215
N-t70d11xx_150,2.20040627270545,1.3388340925707,2.8554084446545
N-t70f11xx_150,1.90817765179957,1.45346776963618,3.21539574885677
N-t70l11xx_150,1.24112419940393,1.53984553474553,4.25351712897895
N-t70n11xx_150,1.66674921726228,1.48812377952457,2.53542737848465
N-t74d11xx_150,1.64225497454035,1.86641314153063,3.11647114466471
N-t75d11xx_150,1.5646630312358,0.904093904465191,2.76186614174862
N-t75e11xx_150,1.45099398504116,2.58834256554931,3.76156300260622
N-t75k11xx_150,0.752337188212735,1.8637827290678,3.40977791846891
N-t75n11xx_150,1.84763414939183,2.40113269852343,3.81603057551687
N-tiw56n54_150,0.924285006772521,1.22167922715691,2.75769889431884
N-tiw56n58_150,1.32258142690965,1.34915249543012,3.00028042430621
N-tiw56n62_150,1.36742964163595,2.09204995202594,2.65286390672934
N-tiw56n66_150,1.84539995131947,1.50183690695519,3.92395399737808
N-tiw56n67_150,1.36763641175494,1.19965814357464,2.9857231114666
N-tiw56n72_150,1.72762588713915,1.76797979258238,3.17241175877504
N-tiw56r54_150,1.63704142802278,1.88010336133051,3.86321321822766
N-tiw56r58_150,1.28730126835589,2.16543166337925,2.85738890096326
N-tiw56r66_150,1.80625581281512,1.67754301805225,3.00352182526903
N-tiw56r67_150,1.59321359673246,1.44391972755571,3.13410139436583
N-tiw56r72_150,1.96776777613379,1.42597205567899,3.13808761232372
